date,datetime,cash_type,money,coffee_name
08-03-25,08-03-25 11:32,card,25,Americano with milk
08-03-25,08-03-25 16:35,card,20,Espresso
08-03-25,08-03-25 21:32,card,30,Hot milkshake
08-03-25,08-03-25 21:48,card,28,Caramel with chocolate
09-03-25,09-03-25 7:47,card,25,Americano
09-03-25,09-03-25 11:47,card,25,Americano
09-03-25,09-03-25 15:05,cash,25,Americano
09-03-25,09-03-25 15:07,card,30,Mochaccino
09-03-25,09-03-25 17:32,card,25,Americano
09-03-25,09-03-25 18:05,card,28,Vanilla with Irish whiskey
09-03-25,09-03-25 18:43,card,27,Irish whiskey with milk
09-03-25,09-03-25 19:19,cash,27,Chocolate with milk
10-03-25,10-03-25 12:11,cash,25,Americano
10-03-25,10-03-25 14:01,card,27,Irish whiskey with milk
10-03-25,10-03-25 15:25,card,27,Irish whiskey with milk
10-03-25,10-03-25 22:12,card,30,Cappuccino
11-03-25,11-03-25 7:52,card,30,Cappuccino
11-03-25,11-03-25 10:04,cash,27,Chocolate with milk
11-03-25,11-03-25 12:41,cash,28,Super chocolate
11-03-25,11-03-25 18:03,card,27,Irish with chocolate
11-03-25,11-03-25 18:04,card,27,Irish with chocolate
12-03-25,12-03-25 7:53,card,33,Latte
12-03-25,12-03-25 8:41,card,25,Americano
12-03-25,12-03-25 16:56,card,25,Americano with milk
12-03-25,12-03-25 16:58,card,28,Double Irish whiskey
12-03-25,12-03-25 18:50,card,25,Americano with milk
12-03-25,12-03-25 18:52,card,25,Americano with milk
12-03-25,12-03-25 21:37,card,27,Irish whiskey with milk
12-03-25,12-03-25 21:39,card,27,Irish whiskey with milk
14-03-25,14-03-25 12:31,card,25,Americano with milk
14-03-25,14-03-25 13:46,card,28,Double Irish whiskey
14-03-25,14-03-25 15:59,card,33,Latte
14-03-25,14-03-25 21:27,card,27,Irish whiskey with milk
15-03-25,15-03-25 13:12,card,15,Tea
15-03-25,15-03-25 13:15,card,20,Espresso
15-03-25,15-03-25 13:37,card,25,Irish whiskey
15-03-25,15-03-25 13:39,card,25,Irish whiskey
15-03-25,15-03-25 14:56,card,27,Irish whiskey with milk
15-03-25,15-03-25 14:57,card,27,Chocolate with milk
15-03-25,15-03-25 15:48,card,28,Caramel with Irish whiskey
15-03-25,15-03-25 19:08,card,25,Irish whiskey
15-03-25,15-03-25 19:10,card,25,Americano with milk
15-03-25,15-03-25 21:02,card,33,Latte
15-03-25,15-03-25 21:58,card,30,Cappuccino
16-03-25,16-03-25 13:50,card,25,Americano with milk
16-03-25,16-03-25 14:45,card,25,Americano with milk
16-03-25,16-03-25 15:04,cash,25,Americano with milk
16-03-25,16-03-25 16:01,card,29,Coffee with Irish whiskey
17-03-25,17-03-25 8:01,card,29,Coffee with Irish whiskey
17-03-25,17-03-25 11:03,card,25,Irish whiskey
17-03-25,17-03-25 16:44,card,33,Latte
17-03-25,17-03-25 17:33,card,29,Coffee with Irish whiskey
17-03-25,17-03-25 18:33,card,29,Coffee with Irish whiskey
18-03-25,18-03-25 8:25,card,29,Coffee with Irish whiskey
18-03-25,18-03-25 15:02,cash,28,Double Irish whiskey
18-03-25,18-03-25 17:44,cash,20,Espresso
18-03-25,18-03-25 17:47,card,25,Irish whiskey
18-03-25,18-03-25 19:35,card,30,Chocolate with coffee
18-03-25,18-03-25 19:36,card,30,Chocolate with coffee
19-03-25,19-03-25 16:56,card,25,Irish whiskey
19-03-25,19-03-25 17:38,card,27,Chocolate with milk
19-03-25,19-03-25 17:42,cash,30,Mochaccino
19-03-25,19-03-25 17:44,cash,33,Latte
19-03-25,19-03-25 19:42,cash,25,Double chocolate
20-03-25,20-03-25 8:10,card,25,Irish whiskey
20-03-25,20-03-25 11:54,card,33,Latte
20-03-25,20-03-25 17:22,cash,30,Chocolate with coffee
21-03-25,21-03-25 9:04,card,25,Irish whiskey
21-03-25,21-03-25 19:37,card,27,Chocolate with milk
21-03-25,21-03-25 19:39,card,28,Super chocolate
21-03-25,21-03-25 21:47,card,25,Americano with milk
22-03-25,22-03-25 10:54,card,27,Irish whiskey with milk
22-03-25,22-03-25 10:55,card,27,Irish with chocolate
22-03-25,22-03-25 11:00,card,25,Irish whiskey
22-03-25,22-03-25 16:59,card,15,Tea
22-03-25,22-03-25 17:07,cash,25,Irish whiskey
22-03-25,22-03-25 17:44,card,28,Caramel with Irish whiskey
22-03-25,22-03-25 17:58,cash,22,Caramel
22-03-25,22-03-25 22:19,card,25,Americano with milk
22-03-25,22-03-25 22:21,card,25,Americano with milk
22-03-25,22-03-25 22:23,card,29,Coffee with Irish whiskey
23-03-25,23-03-25 10:16,cash,25,Irish whiskey
23-03-25,23-03-25 10:25,cash,25,Americano with milk
23-03-25,23-03-25 10:25,cash,25,Americano with milk
23-03-25,23-03-25 14:55,cash,30,Cappuccino
23-03-25,23-03-25 15:15,card,25,Irish whiskey
23-03-25,23-03-25 17:59,card,28,Super chocolate
23-03-25,23-03-25 18:01,card,28,Vanilla with Irish whiskey
23-03-25,23-03-25 21:23,card,29,Coffee with Irish whiskey
23-03-22,,,,
